Company,Organization,Date,Headline,Article,Relevance
NVDA,NVIDIA Corporation,27-10-2015,BRIEF-Bloober Team game distributed on Nvidia Geforce Platform Now ,* Its game 'Layers of Fear' to be distributed on Nvidia GeForce Platform Now as of Oct. 27  Source text for Eikon:  Further company coverage:    (Gdynia Newsroom),topStory
NVDA,NVIDIA Corporation,27-10-2015,BRIEF-Bloober Team game distributed on Nvidia GeForce platform ,* Its game 'Layers of Fear' to be distributed on Nvidia GeForce platform as of Oct. 27  Source text for Eikon:  Further company coverage:    (Gdynia Newsroom),normal
NVDA,NVIDIA Corporation,05-01-2016,Nvidia says Volvo is first customer for new autonomous drive computer ,LAS VEGAS Nvidia Corp. unveiled a new  lunchbox-size super-computer for self-driving cars and said Volvo Car Group will be the new device's first customer.,topStory
NVDA,NVIDIA Corporation,05-01-2016,UPDATE 1-Nvidia says Volvo is first customer for new autonomous drive computer ,LAS VEGAS  Jan 4 Nvidia Corp. unveiled a new  lunchbox-size super-computer for self-driving cars and said Volvo Car Group will be the new device's first customer.,normal
NVDA,NVIDIA Corporation,05-01-2016,Nvidia says Volvo is first customer for new autonomous drive computer ,LAS VEGAS  Jan 4 Nvidia Corp. unveiled a new  lunchbox-size super-computer for self-driving cars and said Volvo Car Group will be the new device's first customer.,normal
NVDA,NVIDIA Corporation,06-01-2016,Nvidia says Volvo is first customer for new autonomous drive computer ,LAS VEGAS Nvidia Corp. unveiled a new  lunchbox-size super-computer for self-driving cars and said Volvo Car Group will be the new device's first customer.,topStory
NVDA,NVIDIA Corporation,06-01-2016,UPDATE 2-Nvidia says Volvo is first customer for new autonomous drive computer ,LAS VEGAS  Jan 5 Nvidia Corp. unveiled a new  lunchbox-size super-computer for self-driving cars and said Volvo Car Group will be the new device's first customer.,normal
NVDA,NVIDIA Corporation,05-02-2016,Jury clears Nvidia of infringing Samsung chip technology patent ,Graphics chip maker Nvidia Corp has won a round in a bitter patent dispute with Samsung Electronics Co Ltd after a U.S. jury cleared Nvidia of infringing the Korean company's microchip technology  Nvidia said on Friday.,topStory
NVDA,NVIDIA Corporation,17-02-2016,Nvidia revenue rises 12 pct on higher chip demand ,Feb 17Chipmaker Nvidia Corp reported a 12 percent rise in quarterly revenue  helped by strong demand for its chips used in gaming consoles and personal computers.,topStory
NVDA,NVIDIA Corporation,26-02-2016,International Trade Commission confirms Nvidia infringed one Samsung patent  reviews others ,Graphics chip maker Nvidia Corp infringed one of Samsung Electronic Co Ltd's patents  the U.S. International Trade Commission said on Wednesday while announcing it would review a ruling by an administrative judge that Nvidia also infringed two others.,topStory
NVDA,NVIDIA Corporation,02-05-2016,Nvidia settles feud with Samsung over graphics patents ,May 2 - Graphics chip maker Nvidia Corp announced a settlement of a patent dispute with Samsung Electronics Co Ltd  on Monday  hours before a U.S. trade agency was due to rule on a complaint that could have blocked importation of some of Nvidia's products.,topStory
NVDA,NVIDIA Corporation,02-05-2016,Nvidia settles feud with Samsung over graphics patents ,NEW YORK Graphics chip maker Nvidia Corp announced a settlement of a patent dispute with Samsung Electronics Co Ltd on Monday  hours before a U.S. trade agency was due to rule on a complaint that could have blocked importation of some of Nvidia's products.,normal
NVDA,NVIDIA Corporation,12-05-2016,Strong demand for graphics chips to boost Nvidia's revenue ,Nvidia Corp forecast better-than-expected revenue for the current quarter as it sees robust demand for its chips that power complex computer graphics.,topStory
NVDA,NVIDIA Corporation,12-05-2016,UPDATE 2-Strong demand for graphics chips to boost Nvidia's revenue ,May 12 Nvidia Corp forecast better-than-expected revenue for the current quarter as it sees robust demand for its chips that power complex computer graphics.,normal
NVDA,NVIDIA Corporation,08-06-2016,"BRIEF-Funcom partners with NVIDIA on ""Conan Exiles"" ","* Has entered into partnership with NVIDIA for the co-marketing and development of ""Conan Exiles""",topStory
NVDA,NVIDIA Corporation,21-06-2016,BRIEF-Nvidia CAO David Shannon to retire at year's end ,* Nvidia Chief Administrative Officer  David Shannon  to retire at year's end  Source text for Eikon:  Further company coverage:    (Reporting By Siddharth Cavale),topStory
NVDA,NVIDIA Corporation,11-08-2016,Gaming  data center strength propels Nvidia to another solid quarter ,Chipmaker Nvidia Corp reported its fastest quarterly sales growth in nearly five years  powered by strong demand for the company's processors used in gaming computers and in data centers.,topStory
NVDA,NVIDIA Corporation,11-08-2016,Chipmaker Nvidia's revenue surges 23.9 pct ,Aug 11 Chipmaker Nvidia Corp reported a 23.9 percent jump in quarterly revenue  its fastest quarterly sales growth in nearly five years  powered largely by strong demand for the company's processors used in gaming computers.,normal
NVDA,NVIDIA Corporation,12-08-2016,Samsung Elec gets order for Nvidia's next-gen GPUs: Chosun Biz ,SEOUL Tech giant Samsung Electronics Co Ltd won a contract manufacturing order to make new graphics processing unit (GPU) products for U.S.-based Nvidia Corp  South Korea's Chosun Biz newspaper reported on Friday  citing unnamed sources.,topStory
NVDA,NVIDIA Corporation,12-08-2016,Samsung Elec gets order for Nvidia's next-gen GPUs -Chosun Biz ,SEOUL  Aug 12 Tech giant Samsung Electronics Co Ltd won a contract manufacturing order to make new graphics processing unit (GPU) products for U.S.-based Nvidia Corp  South Korea's Chosun Biz newspaper reported on Friday  citing unnamed sources.,normal
NVDA,NVIDIA Corporation,06-09-2016,BRIEF-Nvidia files for a potential mixed shelf offering - SEC filing ,* Nvidia Files for a potential mixed shelf offering; size undisclosed - sec filing  Source text for Eikon:  Further company coverage:,topStory
NVDA,NVIDIA Corporation,13-09-2016,Nvidia shows off smaller artificial intelligence computer for Baidu car ,U.S. chipmaker Nvidia Corp  showed off on Monday a smaller and more efficient artificial intelligence computer for self-driving cars  saying it would power Baidu's  mapping and autonomous vehicle technology.,topStory
NVDA,NVIDIA Corporation,13-09-2016,Nvidia shows off smaller artificial intelligence computer for Baidu car ,Sept 12 U.S. chipmaker Nvidia Corp  showed off on Monday a smaller and more efficient artificial intelligence computer for self-driving cars  saying it would power Baidu's mapping and autonomous vehicle technology.,normal
NVDA,NVIDIA Corporation,28-09-2016,BRIEF-Nvidia and TomTom develop mapping system for Self-Driving Cars ,* Nvidia and tomtom develop mapping system for Self-Driving Cars  Source text for Eikon:  Further company coverage:,topStory
NVDA,NVIDIA Corporation,18-10-2016,BRIEF-Gaming Corps and NVIDIA sign deal for distribution and streaming of The Descendant ,* Gaming Corps and NVIDIA sign agreement for distribution and streaming of The Descendant,topStory
NVDA,NVIDIA Corporation,10-11-2016,BRIEF-Nvidia posts Q3 earnings per share $0.94 ,* Nvidia announces financial results for third quarter fiscal 2017,topStory
NVDA,NVIDIA Corporation,10-11-2016,Nvidia's quarterly revenue jumps 53.6 pct ,Nov 10 Nvidia Corp reported a 53.6 percent jump in quarterly revenue  helped by strong demand for the company's graphics processing chips used in personal computers and data centers.,normal
NVDA,NVIDIA Corporation,11-11-2016,CORRECTED-UPDATE 2-Nvidia posts biggest qtrly revenue growth in 6 yrs; shares soar ,Nov 10 Nvidia Corp reported its biggest quarterly revenue growth in more than six years as demand soared for its gaming chips used in personal computers.,normal
NVDA,NVIDIA Corporation,18-01-2017,BRIEF-Nvidia names Tim Teter as general counsel ,* Nvidia names Tim Teter as general counsel  Source text for Eikon:  Further company coverage:,topStory
NVDA,NVIDIA Corporation,09-02-2017,Graphics-chip maker Nvidia's revenue beats expectations ,Nvidia Corp's quarterly revenue surged more than 50 percent for the second straight quarter and beat expectations  helped by rising demand for its graphics chips and strength in rapidly growing areas such as self-driving systems and artificial intelligence.,topStory
NVDA,NVIDIA Corporation,09-02-2017,UPDATE 2-Graphics-chip maker Nvidia's revenue beats expectations ,Feb 9 Nvidia Corp's quarterly revenue surged more than 50 percent for the second straight quarter and beat expectations  helped by rising demand for its graphics chips and strength in rapidly growing areas such as self-driving systems and artificial intelligence.,normal
NVDA,NVIDIA Corporation,09-02-2017,BRIEF-NVIDIA Corp says GPU business revenue for the fourth quarter was $1.85 billion  up 57 percent from a year earlier ,* NVIDIA Corp says GPU business revenue for the fourth quarter was $1.85 billion  up 57 percent from a year earlier,normal
NVDA,NVIDIA Corporation,09-02-2017,BRIEF-NVIDIA announces financial results for fourth quarter and fiscal 2017 ,* NVIDIA announces financial results for fourth quarter and fiscal 2017,normal
NVDA,NVIDIA Corporation,09-02-2017,Graphics-chip maker Nvidia's revenue surges 55.1 pct ,Feb 9 Nvidia Corp's quarterly revenue surged more than 50 percent for the second straight quarter  helped by rising demand for its graphics chips and strength in rapidly growing areas such as self-driving systems and artificial intelligence.,normal
NVDA,NVIDIA Corporation,15-03-2017,BRIEF-Bosch Connected World Bosch says working with Nvidia to develop artificial intelligence self-driving systems for mass market cars ,* Bosch Connected World Bosch says working with Nvidia to develop artificial intelligence self-driving systems for mass market cars  Source text for Eikon: Further company coverage:,topStory
NVDA,NVIDIA Corporation,16-03-2017,Chipmaker Nvidia says working with Paccar on driverless trucks ,U.S. chipmaker Nvidia Corp said on Thursday it was working with truckmaker Paccar Inc to develop autonomous vehicles.,topStory
NVDA,NVIDIA Corporation,16-03-2017,Chipmaker Nvidia says working with Paccar on driverless trucks ,March 16 U.S. chipmaker Nvidia Corp said on Thursday it was working with truckmaker Paccar Inc  to develop autonomous vehicles.,normal
NVDA,NVIDIA Corporation,09-05-2017,Nvidia's data center business powers revenue beat ,Nvidia Corp  reported a better-than-expected 48.4 percent jump in quarterly revenue  helped by strong demand for its chips that are used by major cloud computing providers in data centers.,topStory
NVDA,NVIDIA Corporation,09-05-2017,BRIEF-NVidia reports Q1 non-GAAP earnings per share $0.85 ,* NVidia announces financial results for first quarter fiscal 2018,normal
NVDA,NVIDIA Corporation,09-05-2017,Chipmaker Nvidia's quarterly revenue jumps 48.4 pct ,May 9 Nvidia Corp reported a 48.4 percent jump in quarterly revenue  helped by strong demand for its graphics chips and its diversification into fast-growing areas such as self-driving systems and artificial intelligence.,normal
NVDA,NVIDIA Corporation,10-05-2017,Nvidia says Toyota will use its AI technology for self-driving cars ,SAN JOSE Nvidia Corp announced a partnership with Toyota Motor Corp on Wednesday  saying the Japanese car maker would use Nvidia's artificial intelligence technology to develop self-driving vehicle systems planned for the next few years.,topStory
NVDA,NVIDIA Corporation,10-05-2017,UPDATE 1-Nvidia says Toyota will use its AI technology for self-driving cars ,SAN JOSE  May 10 Nvidia Corp announced a partnership with Toyota Motor Corp on Wednesday  saying the Japanese car maker would use Nvidia's artificial intelligence technology to develop self-driving vehicle systems planned for the next few years.,normal
NVDA,NVIDIA Corporation,10-05-2017,Nvidia says Toyota will use its technology for self-driving cars ,SAN FRANCISCO  May 10 Nvidia Corp and Toyota Motor Corp on Wednesday in a statement said the Japanese car maker would use Nvidia's microchip technology to develop self-driving vehicle systems planned for the next few years.,normal
